,Marca temporal,Dirección de correo electrónico,Escribe el nombre del taller ,El lenguaje de los taller fue adecuado ,Se distinguió los objetivos del taller,Fueron claras las instrucciones de los talleres,¿Qué tan ameno te pareció el taller?,Los talleres te motivaron a seguir indagando en el tema,Si tienes comentarios y/o sugerencias acerca de los talleres son bienvenidos.,El lenguaje de las secuencias didácticas te pareció apropiado,Se distinguió los objetivos de las secuencias didácticas,Fueron claros los conceptos que se formalizaron en las secuencias didácticas,¿Qué tan complicado te pareció la formalización de los conceptos en las secuencias didácticas?,¿Qué tan apropiado fue introducir los conceptos formales a partir de los talleres?,Si tienes comentarios y/o sugerencias son bienvenidos,El lenguaje de los talleres fue adecuado ,Se distinguieron los objetivos del taller
0,21/07/2022 9:16:50,,Serpientes estocásticas y escaleras aleatorias,1.0,1.0,1,1,2,Sería bueno si pudieran sugerir bibliografía útil para cada tema. :),Mucho,Mucho,Mucho,Poco,Poco,.,,
1,21/07/2022 9:18:07,,Serpientes estocásticas y escaleras aleatorias,1.0,1.0,2,1,1,"En general el taller fue ameno, la actividad de serpientes y escaleras me pareció muy divertida e interesante con la modificación de avanzar usando la probabilidad.",Mucho,Mucho,Mucho,Mucho,Mucho,"No tengo mucho que agregar, me pareció bastante bien diseñado el taller.",,
2,21/07/2022 9:19:09,,Serpientes estocásticas y escaleras aleatorias,5.0,5.0,5,5,4,"No, fue agradable ",Mucho,Mucho,Mucho,Mucho,Mucho,.,,
3,21/07/2022 9:20:11,,Serpientes estocásticas y escaleras aleatorias,1.0,1.0,1,1,1,La explicación del tema fue breve y sencillo además de entretenido,Mucho,Mucho,Mucho,Poco,Mucho,El taller fue mucho de mi agrado,,
4,21/07/2022 9:20:18,,Serpientes estocásticas y escaleras aleatorias,1.0,1.0,1,1,1,Me gusto mucho el juego de las serpientes estocásticas y como a través de ello nos introdujeron al tema.,Mucho,Mucho,Mucho,Poco,Mucho,Me gustó la parte didáctica del taller y los temas vistos. ,,
5,21/07/2022 9:27:00,,Serpientes estocásticas y escaleras aleatorias,1.0,2.0,1,1,2,Me hubiera agradado ver más ejercicios sobre los temas del taller.,Mucho,Mucho,Mucho,Poco,Mucho,Me hubiera gustado profundizar en más temas de combinatoria.,,
6,21/07/2022 10:56:27,,Serpientes estocásticas y escaleras aleatorias.,1.0,1.0,1,1,1,"Los instructores fueron muy amables, se notaba el dominio del tema así como la organización del taller. Las actividades fueron entretenidas, las indicaciones fueron claras; si teníamos dudas las respondían de muy buena manera. En general un muy buen taller ",Mucho,Mucho,Mucho,Poco,Mucho,En el taller las explicaciones y conceptos fueron claros,,
0,21/07/2022 17:21:18,,Lógica y sudokus,1.0,1.0,1,1,1,"Resolver el sudoku en equipo fue algo repetitivo, pero todo lo demás estuvo muy interesante y los ponentes fueron muy atentos.",Mucho,Mucho,Mucho,Poco,Mucho,Ninguno.,,
1,21/07/2022 17:24:17,,"Lógica, sudokus y...¿demostraciones?",1.0,2.0,1,2,1,"Gran taller, la ultima parte un poco lenta, pero en general tanto la actividad principal como las ponencias fueron muy agradables.",Mucho,Mucho,Mucho,Poco,Poco,"Con respecto a la ultima pregunta, no es que este mal introducir estos conceptos con talleres, mas bien fue raro ligar los sudokus con axiomas, conjeturas o proposiciones, o sea se entendió el taller pero en principio fue raro.",,
2,21/07/2022 17:24:31,,Cartas en Set,1.0,1.0,1,1,1,Son muy creativos y bastante interactivos para poder entender el tema general ,Mucho,Mucho,Mucho,Mucho,Mucho,Muy entendible y divertido ,,
3,21/07/2022 17:24:47,,Sudoku,1.0,1.0,1,1,1,Me gustó la planeación de los temas y como los fueron desarrolando,Mucho,Mucho,Mucho,Poco,Mucho,"Estoy entendiendo todo, me agradan muchisimo las clases ",,
0,21/07/2022 16:10:26,,Bingo del multiverso ,1.0,1.0,1,2,2,.,Mucho,Mucho,Mucho,Mucho,Mucho,.,,
1,21/07/2022 16:10:50,, Bingo del Multiverso. ,1.0,1.0,2,2,3,"pues estuvo bien, ninguna queja.",Mucho,Mucho,Mucho,Poco,Mucho,ninguna queja,,
2,21/07/2022 16:11:38,,Bingo del multiverso ,2.0,2.0,1,2,1,"Fueron entretenido, tal vez con un poco más tiempo los temas quedarán más concretos.",Mucho,Mucho,Mucho,Poco,Mucho,"Creo que no hay, fue bueno el taller, tal vez con un poco más de tiempo los temas quedarías más comprendidos ",,
3,21/07/2022 16:12:31,,Bingo del Multiverso,1.0,1.0,1,1,3,Me pareció muy interesante la manera en que se planea abordar los conceptos que se quieren dar a conocer desde algo tan básico como lo es un juego ,Mucho,Mucho,Mucho,Poco,Mucho,"Aunque si hay una diferencia muy grande entre lo que se muestra en el taller y en la secuencia didáctica, me pareció demasiado pertinente la manera en que se nos fue brindando la información y cuánta atención había en que se comprendieran en su totalidad.",,
4,21/07/2022 16:12:56,,Bingo del Multiverso,1.0,1.0,1,1,1,"Me gustó como fueron explicando las definiciones a través de un juego,  muy didáctico.",Mucho,Mucho,Mucho,Poco,Mucho,"Se entendió muy bien, muchas gracias.",,
5,21/07/2022 16:13:26,,Bingo del multiverso ,2.0,2.0,2,2,1,Muy buena explicación del taller muchas gracias ✨,Mucho,Mucho,Mucho,Poco,Mucho,La explicación es detallada Gracias por eso :),,
6,21/07/2022 16:14:20,,Bingo del Multiverso ,1.0,1.0,1,1,1,"Creo que lo unico que puedo decir es que continuen con el mismi entusiasmo, y gracias.",Mucho,Mucho,Mucho,Poco,Mucho,"Continuar con la actividad como hasta ahora, es muy buen inicio.",,
7,21/07/2022 16:14:36,,Bingo del multiverso,2.0,1.0,2,4,2,"En la clase didáctica, sentí que nos tomo demasiado tiempo hacer la actividad que nos iba a llevar al tema, me hubiera gustado algo más corto, para que se explicara el tema directo de una manera más amplia",Mucho,Mucho,Mucho,Poco,Mucho,Tal vez se pudiera agregar ver como se ven las gráficas de los tipos de funciones,,
8,21/07/2022 16:15:23,,bingo del multiiverso,1.0,1.0,1,1,1,estoy reaprendiendo bastante gracias propedéuticos UNAM Facultad de Ciencias,Mucho,Mucho,Mucho,Mucho,Mucho,Gracias a este propedéutico se que tengo que esforzarme al millón para lograr mis objetivos ,,
9,21/07/2022 16:20:13,,Curso Propedeutico,2.0,2.0,2,1,1,Ninguno,Mucho,Mucho,Mucho,Mucho,Mucho,Ninguno,,
0,21/07/2022 16:20:55,,Juntos con Conujntos,,,1,1,2,.,Mucho,Mucho,Mucho,Mucho,Mucho,.,1.0,1.0
1,21/07/2022 16:21:01,,Juntos con conjuntos,,,1,1,2,ninguno,Mucho,Mucho,Mucho,Poco,Mucho,ninguno,1.0,1.0
2,21/07/2022 16:21:42,,juntos con conjuntos ,,,1,2,3,muy bueno ,Mucho,Mucho,Mucho,Poco,Mucho,no ,1.0,1.0
3,21/07/2022 16:22:00,,Juntos con conjuntos,,,1,1,1,Las instructoras prepararon las presentaciones y actividades con alta calidad,Mucho,Mucho,Mucho,Poco,Mucho,Nada que comentar,1.0,1.0
4,21/07/2022 16:22:33,,Juntos con Conjuntos,,,1,1,1,las instructoras se esmeraron mucho con las actividades para hacerlas entretenidas y que se entendiera el tema,Mucho,Mucho,Mucho,Poco,Mucho,tal vez añadirle un poco mas de tiempo al taller ya que las dos horas pasan volando,1.0,1.0
