,Taller,Tipo,Porcentaje
0,serpientes estocasticas y escaleras aleatorias,Positivos,85.71428571428571
1,serpientes estocasticas y escaleras aleatorias,Neutros,0.0
2,serpientes estocasticas y escaleras aleatorias,Negativos,14.285714285714286
3,serpientes estocasticas y escaleras aleatorias,No respondieron,0.0
0,logica y sudoku,Positivos,100.0
1,logica y sudoku,Neutros,0.0
2,logica y sudoku,Negativos,0.0
3,logica y sudoku,No respondieron,0.0
0,cartas en set,Positivos,100.0
1,cartas en set,Neutros,0.0
2,cartas en set,Negativos,0.0
3,cartas en set,No respondieron,0.0
0,bingo del multiverso,Positivos,93.33333333333333
1,bingo del multiverso,Neutros,4.444444444444445
2,bingo del multiverso,Negativos,2.2222222222222223
3,bingo del multiverso,No respondieron,0.0
0,juntos con conjuntos,Positivos,58.46153846153846
1,juntos con conjuntos,Neutros,4.615384615384615
2,juntos con conjuntos,Negativos,0.0
3,juntos con conjuntos,No respondieron,36.92307692307692
0,carrera de probabilidades con mario kart,Positivos,82.85714285714286
1,carrera de probabilidades con mario kart,Neutros,2.857142857142857
2,carrera de probabilidades con mario kart,Negativos,14.285714285714286
3,carrera de probabilidades con mario kart,No respondieron,0.0
0,los caminos del infinito (no son como yo pensaba),Positivos,91.66666666666667
1,los caminos del infinito (no son como yo pensaba),Neutros,0.0
2,los caminos del infinito (no son como yo pensaba),Negativos,8.333333333333334
3,los caminos del infinito (no son como yo pensaba),No respondieron,0.0
0,aliens mentirosos,Positivos,90.0
1,aliens mentirosos,Neutros,10.0
2,aliens mentirosos,Negativos,0.0
3,aliens mentirosos,No respondieron,0.0
0,un algoritmo para calcular el dia del fin del mundo,Positivos,69.0909090909091
1,un algoritmo para calcular el dia del fin del mundo,Neutros,9.090909090909092
2,un algoritmo para calcular el dia del fin del mundo,Negativos,21.818181818181817
3,un algoritmo para calcular el dia del fin del mundo,No respondieron,0.0
0,juego del grafimar,Positivos,93.33333333333333
1,juego del grafimar,Neutros,0.0
2,juego del grafimar,Negativos,6.666666666666667
3,juego del grafimar,No respondieron,0.0
0,¿leonardo di caprio es perfecto?,Positivos,100.0
1,¿leonardo di caprio es perfecto?,Neutros,0.0
2,¿leonardo di caprio es perfecto?,Negativos,0.0
3,¿leonardo di caprio es perfecto?,No respondieron,0.0
0,scrampty,Positivos,77.14285714285714
1,scrampty,Neutros,2.857142857142857
2,scrampty,Negativos,20.0
3,scrampty,No respondieron,0.0
0,maquina para transformar cafe en teoremas,Positivos,87.36842105263158
1,maquina para transformar cafe en teoremas,Neutros,3.1578947368421053
2,maquina para transformar cafe en teoremas,Negativos,9.473684210526315
3,maquina para transformar cafe en teoremas,No respondieron,0.0
0,toros y vacas,Positivos,96.66666666666667
1,toros y vacas,Neutros,3.3333333333333335
2,toros y vacas,Negativos,0.0
3,toros y vacas,No respondieron,0.0
0,sin especificar,Positivos,66.66666666666667
1,sin especificar,Neutros,5.0
2,sin especificar,Negativos,28.333333333333332
3,sin especificar,No respondieron,0.0
