,ID,Sentimiento,Sentimiento_bayes
0,0,Positivo,neg
1,1,Positivo,pos
2,2,Neutro,pos
3,3,Neutro,pos
4,4,Neutro,pos
5,5,Positivo,pos
6,6,Neutro,pos
7,7,Neutro,pos
8,8,Neutro,pos
9,9,Positivo,pos
10,10,Positivo,pos
11,12,Positivo,pos
12,13,Neutro,pos
13,14,Neutro,pos
14,15,Neutro,pos
15,16,Positivo,neg
16,17,Neutro,pos
17,18,Neutro,pos
18,19,Neutro,pos
19,20,Neutro,neg
20,22,Neutro,neg
21,23,Positivo,pos
22,24,Neutro,pos
23,25,Neutro,pos
24,26,Neutro,pos
25,27,Neutro,pos
26,28,Positivo,pos
27,29,Neutro,neg
28,30,Neutro,pos
29,31,Positivo,neg
30,32,Neutro,pos
31,33,Neutro,neg
32,34,Positivo,pos
33,35,Positivo,neg
34,36,Neutro,pos
35,37,Positivo,pos
36,38,Neutro,neg
37,39,Positivo,pos
38,40,Positivo,pos
39,41,Neutro,pos
40,42,Neutro,pos
41,43,Neutro,pos
42,44,Neutro,pos
43,45,Positivo,pos
44,46,Neutro,neg
45,47,Negativo,pos
46,48,Neutro,pos
47,49,Positivo,pos
48,51,Neutro,pos
49,52,Positivo,neg
50,53,Neutro,pos
51,54,Positivo,neg
52,55,Neutro,pos
53,56,Positivo,neg
54,57,Neutro,pos
55,58,Positivo,pos
56,59,Positivo,pos
57,60,Positivo,pos
58,61,Positivo,pos
59,62,Negativo,pos
60,63,Positivo,pos
61,64,Neutro,pos
62,65,Positivo,pos
63,66,Neutro,pos
64,67,Positivo,pos
65,68,Positivo,pos
66,69,Positivo,pos
67,70,Neutro,neg
68,71,Positivo,pos
69,72,Neutro,pos
70,73,Neutro,pos
71,74,Positivo,neg
72,75,Neutro,pos
73,76,Neutro,pos
74,77,Positivo,pos
75,78,Positivo,neg
76,80,Neutro,neg
77,81,Positivo,neg
78,82,Positivo,pos
79,83,Positivo,pos
80,84,Neutro,pos
81,85,Positivo,pos
82,86,Positivo,pos
83,87,Neutro,neg
84,88,Neutro,neg
85,89,Neutro,pos
86,90,Neutro,neg
87,91,Positivo,neg
88,92,Positivo,pos
89,93,Positivo,pos
90,94,Positivo,pos
91,95,Positivo,pos
92,96,Neutro,pos
93,97,Neutro,neg
94,98,Positivo,pos
95,99,Positivo,pos
96,100,Neutro,pos
97,101,Neutro,pos
98,102,Neutro,pos
99,104,Positivo,neg
100,105,Positivo,neg
101,107,Positivo,pos
102,108,Neutro,neg
103,109,Positivo,neg
104,110,Positivo,pos
105,111,Positivo,neg
106,114,Positivo,pos
107,115,Neutro,pos
108,116,Positivo,pos
109,117,Positivo,neg
110,118,Neutro,pos
111,119,Neutro,pos
112,120,Neutro,neg
113,121,Positivo,pos
114,122,Neutro,pos
115,123,Neutro,neg
116,124,Positivo,pos
117,125,Positivo,pos
118,126,Neutro,pos
119,127,Neutro,pos
120,128,Neutro,pos
121,129,Neutro,pos
122,130,Positivo,pos
123,131,Neutro,pos
124,132,Positivo,pos
125,133,Neutro,pos
126,134,Neutro,pos
127,137,Negativo,pos
128,139,Positivo,pos
129,140,Positivo,pos
130,142,Positivo,pos
131,143,Positivo,pos
132,144,Neutro,pos
