,ID,3,4,5,6,7,8,10,11,12,13,14
0,0,serpientes estocasticas y escaleras aleatorias,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
1,1,serpientes estocasticas y escaleras aleatorias,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
2,2,serpientes estocasticas y escaleras aleatorias,Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Mucho,Mucho,Mucho
3,3,serpientes estocasticas y escaleras aleatorias,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
4,4,serpientes estocasticas y escaleras aleatorias,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
5,5,serpientes estocasticas y escaleras aleatorias,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
6,6,serpientes estocasticas y escaleras aleatorias,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
7,7,logica y sudoku,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
8,8,logica y sudoku,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
9,10,logica y sudoku,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
10,9,cartas en set,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
11,11,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
12,12,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Neutro,Mucho,Mucho,Mucho,Poco,Mucho
13,13,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
14,14,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Neutro,Mucho,Mucho,Mucho,Poco,Mucho
15,15,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
16,16,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
17,17,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
18,18,bingo del multiverso,Positivo,Positivo,Positivo,Negativo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
19,19,bingo del multiverso,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
20,21,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
21,22,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
22,23,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Neutro,Mucho,Mucho,Mucho,Poco,Mucho
23,24,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
24,25,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
25,27,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
26,28,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
27,30,juntos con conjuntos,No contesto,No contesto,Positivo,Neutro,Neutro,Mucho,Poco,Mucho,Poco,Poco
28,31,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
29,32,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
30,26,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
31,29,juntos con conjuntos,No contesto,No contesto,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
32,108,juntos con conjuntos,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
33,33,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
34,34,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
35,35,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
36,38,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
37,39,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
38,43,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
39,44,carrera de probabilidades con mario kart,Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Mucho,Poco,Mucho
40,45,carrera de probabilidades con mario kart,Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Mucho,Mucho,Mucho
41,36,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
42,41,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
43,37,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
44,40,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
45,42,carrera de probabilidades con mario kart,Positivo,Neutro,Neutro,Positivo,Positivo,Mucho,Mucho,Poco,Poco,Poco
46,58,carrera de probabilidades con mario kart,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
47,46,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
48,47,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
49,50,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
50,52,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Poco,Mucho,Mucho,Mucho
51,48,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
52,49,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
53,53,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
54,54,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
55,56,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
56,57,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
57,51,los caminos del infinito (no son como yo pensaba),Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Mucho,Mucho,Mucho
58,55,los caminos del infinito (no son como yo pensaba),Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
59,59,aliens mentirosos,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Poco,Mucho,Poco,Mucho
60,63,aliens mentirosos,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
61,64,aliens mentirosos,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
62,65,aliens mentirosos,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
63,66,aliens mentirosos,Positivo,Positivo,Positivo,Neutro,Neutro,Mucho,Mucho,Poco,Poco,Poco
64,70,aliens mentirosos,Positivo,Positivo,Positivo,Positivo,Neutro,Mucho,Mucho,Mucho,Poco,Mucho
65,67,un algoritmo para calcular el dia del fin del mundo,Negativo,Negativo,Negativo,Neutro,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
66,72,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
67,73,un algoritmo para calcular el dia del fin del mundo,Positivo,Neutro,Positivo,Neutro,Neutro,Mucho,Poco,Mucho,Poco,Mucho
68,75,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
69,76,un algoritmo para calcular el dia del fin del mundo,Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Poco,Mucho,Mucho
70,78,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
71,68,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
72,71,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
73,77,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
74,69,un algoritmo para calcular el dia del fin del mundo,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
75,74,un algoritmo para calcular el dia del fin del mundo,Negativo,Negativo,Negativo,Negativo,Neutro,Mucho,Mucho,Poco,Mucho,Mucho
76,79,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
77,83,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
78,87,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
79,80,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
80,82,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
81,84,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
82,85,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
83,86,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Poco,Mucho,Poco,Mucho
84,88,juego del grafimar,Negativo,Negativo,Negativo,Negativo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
85,90,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
86,81,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
87,89,juego del grafimar,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
88,91,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
89,93,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
90,94,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
91,98,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
92,99,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
93,100,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
94,102,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
95,92,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
96,101,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
97,105,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
98,96,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
99,104,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
100,109,¿leonardo di caprio es perfecto?,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
101,106,scrampty,Positivo,Positivo,Neutro,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
102,110,scrampty,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
103,107,scrampty,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
104,111,scrampty,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Poco
105,113,scrampty,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
106,114,scrampty,Negativo,Negativo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
107,112,scrampty,Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Mucho,Mucho,Mucho
108,118,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
109,120,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
110,121,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
111,122,maquina para transformar cafe en teoremas,Negativo,Neutro,Negativo,Negativo,Negativo,Mucho,Poco,Mucho,Poco,Mucho
112,123,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
113,124,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
114,125,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
115,126,maquina para transformar cafe en teoremas,Negativo,Negativo,Negativo,Negativo,Negativo,Mucho,Mucho,Mucho,Poco,Mucho
116,128,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
117,138,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Mucho,Mucho
118,139,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
119,140,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
120,142,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
121,143,maquina para transformar cafe en teoremas,Positivo,Positivo,Positivo,Positivo,Positivo,Mucho,Mucho,Mucho,Poco,Mucho
